x,y,rho,ux,uy
0,0,0.906671,0,0
1,0,0.90029,0.00127458,0
2,0,0.899962,0.000323738,-3.8551e-18
3,0,0.899961,7.54166e-05,-3.85511e-18
4,0,0.89993,3.2913e-05,0
5,0,0.89989,2.74801e-05,0
6,0,0.899845,2.92817e-05,0
7,0,0.899793,3.32817e-05,-3.85583e-18
8,0,0.899733,3.75967e-05,0
9,0,0.899666,4.15218e-05,-3.85637e-18
10,0,0.899593,4.49416e-05,0
11,0,0.899514,4.79267e-05,-3.85702e-18
12,0,0.899431,5.05767e-05,3.85738e-18
13,0,0.899343,5.29769e-05,0
14,0,0.899252,5.51916e-05,3.85815e-18
15,0,0.899157,5.72647e-05,0
16,0,0.899059,5.92219e-05,0
17,0,0.898957,6.10719e-05,0
18,0,0.898853,6.28095e-05,0
19,0,0.898745,6.44172e-05,0
20,0,0.898635,6.58677e-05,-3.8608e-18
21,0,0.898523,6.71258e-05,0
22,0,0.898409,6.81502e-05,0
23,0,0.898293,6.88954e-05,0
24,0,0.898177,6.93128e-05,0
25,0,0.89806,6.93521e-05,0
26,0,0.897943,6.89632e-05,3.86377e-18
27,0,0.897827,6.80968e-05,3.86427e-18
28,0,0.897713,6.67059e-05,0
29,0,0.897602,6.47473e-05,0
30,0,0.897494,6.21829e-05,0
31,0,0.897392,5.8981e-05,-3.86614e-18
32,0,0.897295,5.51182e-05,3.86656e-18
33,0,0.897206,5.05805e-05,3.86695e-18
34,0,0.897125,4.53656e-05,0
35,0,0.897053,3.94836e-05,0
36,0,0.896991,3.29595e-05,0
37,0,0.896941,2.58337e-05,-3.86809e-18
38,0,0.896904,1.81637e-05,0
39,0,0.89688,1.00244e-05,3.86835e-18
40,0,0.89687,1.50905e-06,-3.8684e-18
41,0,0.896874,-7.2712e-06,-3.86838e-18
42,0,0.896894,-1.61877e-05,3.86829e-18
43,0,0.896929,-2.50956e-05,0
44,0,0.896979,-3.38357e-05,3.86793e-18
45,0,0.897043,-4.22367e-05,0
46,0,0.897121,-5.01187e-05,0
47,0,0.897213,-5.72969e-05,-3.86692e-18
48,0,0.897315,-6.35858e-05,-3.86648e-18
49,0,0.897428,-6.88042e-05,3.86599e-18
50,0,0.897548,-7.27805e-05,0
51,0,0.897674,-7.53577e-05,-3.86493e-18
52,0,0.897804,-7.63995e-05,0
53,0,0.897933,-7.57952e-05,0
54,0,0.898061,-7.34646e-05,3.86327e-18
55,0,0.898183,-6.93624e-05,0
56,0,0.898296,-6.34818e-05,0
57,0,0.898398,-5.58571e-05,-3.86181e-18
58,0,0.898486,-4.65648e-05,0
59,0,0.898557,-3.57238e-05,0
60,0,0.898608,-2.34941e-05,0
61,0,0.898637,-1.0074e-05,-3.86079e-18
62,0,0.898643,4.30452e-06,-3.86076e-18
63,0,0.898624,1.93807e-05,0
64,0,0.898578,3.48721e-05,0
65,0,0.898506,5.04823e-05,-3.86135e-18
66,0,0.898408,6.5909e-05,0
67,0,0.898284,8.08529e-05,0
68,0,0.898135,9.50264e-05,0
69,0,0.897963,0.000108162,0
70,0,0.897769,0.000120019,-3.86452e-18
71,0,0.897557,0.000130393,0
72,0,0.897329,0.000139117,3.86642e-18
73,0,0.897087,0.000146068,0
74,0,0.896835,0.00015117,0
75,0,0.896577,0.00015439,0
76,0,0.896314,0.00015574,3.87079e-18
77,0,0.896051,0.000155276,3.87193e-18
78,0,0.895791,0.000153085,0
79,0,0.895535,0.000149289,0
80,0,0.895288,0.000144032,3.87523e-18
81,0,0.89505,0.000137474,0
82,0,0.894825,0.000129784,0
83,0,0.894614,0.000121131,0
84,0,0.894418,0.00011168,-3.879e-18
85,0,0.894239,0.000101579,-3.87978e-18
86,0,0.894077,9.09615e-05,0
87,0,0.893933,7.99395e-05,0
88,0,0.893808,6.86042e-05,3.88164e-18
89,0,0.893703,5.70311e-05,0
90,0,0.893617,4.52836e-05,3.88248e-18
91,0,0.893551,3.33909e-05,-3.88276e-18
92,0,0.893505,2.12245e-05,0
93,0,0.893479,8.14449e-06,3.88308e-18
94,0,0.893475,-7.48548e-06,0
95,0,0.893496,-3.01993e-05,3.883e-18
96,0,0.893536,-9.0105e-05,-3.88283e-18
97,0,0.893568,-0.000364853,-3.88269e-18
98,0,0.893961,-0.00137868,-3.88098e-18
99,0,0.900757,0,0
0,1,0.900279,0,0.00128018
1,1,0.899922,0.00068023,0.000650544
2,1,0.900102,0.000664766,0.000345653
3,1,0.90003,0.000527599,0.000134719
4,1,0.899944,0.00043429,5.55184e-05
5,1,0.89989,0.000404704,1.80282e-05
6,1,0.899844,0.000404862,5.50371e-06
7,1,0.899794,0.000409133,5.75733e-06
8,1,0.899737,0.000405764,1.12853e-05
9,1,0.899673,0.00038984,1.87453e-05
10,1,0.899604,0.000359133,2.69091e-05
11,1,0.899529,0.000312637,3.52769e-05
12,1,0.89945,0.000250029,4.36136e-05
13,1,0.899367,0.000171336,5.18201e-05
14,1,0.89928,7.67263e-05,5.98796e-05
15,1,0.899189,-3.36163e-05,6.78202e-05
16,1,0.899095,-0.000159553,7.569e-05
17,1,0.898998,-0.000301016,8.35415e-05
18,1,0.898897,-0.000458012,9.14219e-05
19,1,0.898794,-0.000630608,9.93672e-05
20,1,0.898689,-0.000818909,0.000107398
21,1,0.898581,-0.00102303,0.00011552
22,1,0.898471,-0.00124306,0.000123716
23,1,0.898359,-0.00147904,0.000131957
24,1,0.898247,-0.00173091,0.00014019
25,1,0.898134,-0.0019985,0.00014835
26,1,0.898021,-0.00228149,0.000156354
27,1,0.897909,-0.00257937,0.000164103
28,1,0.897798,-0.00289144,0.000171487
29,1,0.89769,-0.00321674,0.000178383
30,1,0.897586,-0.0035541,0.000184658
31,1,0.897486,-0.00390207,0.000190169
32,1,0.897391,-0.00425891,0.000194771
33,1,0.897303,-0.00462263,0.000198308
34,1,0.897222,-0.00499093,0.000200629
35,1,0.897151,-0.00536123,0.00020158
36,1,0.897088,-0.00573068,0.000201014
37,1,0.897037,-0.00609617,0.000198788
38,1,0.896997,-0.00645435,0.000194775
39,1,0.896969,-0.00680166,0.000188861
40,1,0.896955,-0.00713438,0.00018095
41,1,0.896954,-0.00744864,0.000170972
42,1,0.896967,-0.00774051,0.000158882
43,1,0.896994,-0.00800601,0.000144666
44,1,0.897035,-0.00824123,0.000128346
45,1,0.89709,-0.00844233,0.000109977
46,1,0.897158,-0.00860568,8.96559e-05
47,1,0.897238,-0.00872788,6.75205e-05
48,1,0.897329,-0.00880584,4.37488e-05
49,1,0.897429,-0.00883688,1.85606e-05
50,1,0.897536,-0.00881878,-7.78459e-06
51,1,0.897648,-0.00874986,-3.49894e-05
52,1,0.897764,-0.00862902,-6.27226e-05
53,1,0.89788,-0.0084558,-9.06234e-05
54,1,0.897994,-0.00823044,-0.000118307
55,1,0.898103,-0.00795388,-0.000145373
56,1,0.898204,-0.00762782,-0.000171411
57,1,0.898294,-0.00725466,-0.000196009
58,1,0.898371,-0.00683755,-0.000218766
59,1,0.898432,-0.00638033,-0.000239298
60,1,0.898474,-0.00588749,-0.000257249
61,1,0.898496,-0.00536412,-0.000272301
62,1,0.898496,-0.00481582,-0.00028418
63,1,0.898472,-0.00424862,-0.00029267
64,1,0.898425,-0.00366887,-0.000297612
65,1,0.898352,-0.00308316,-0.000298918
66,1,0.898255,-0.00249816,-0.000296565
67,1,0.898133,-0.00192051,-0.000290606
68,1,0.897989,-0.00135673,-0.000281163
69,1,0.897822,-0.000813022,-0.000268428
70,1,0.897636,-0.000295246,-0.000252655
71,1,0.897433,0.000191254,-0.000234157
72,1,0.897214,0.000641718,-0.000213293
73,1,0.896984,0.00105205,-0.000190461
